archetype,budget,culture,nature,nightlife,relax,adventure
Culture Enthusiast,0.6246241415113647,0.8131865285874699,0.19214516623154296,0.2594611275218172,0.31366923505023536,0.18528133309178568
Culture Enthusiast,0.6014747146452314,0.9778065364289337,0.25681922557525105,0.137735621967815,0.3156676204078145,0.12173017779079745
Culture Enthusiast,0.6326602204571578,0.8137933116609727,0.3823324509860515,0.23780779859304346,0.32048237874511004,0.2786152787156411
Culture Enthusiast,0.7332379555570061,1.0,0.15273006149346835,0.09763384266114389,0.2500145137843457,0.2020872840168667
Culture Enthusiast,0.6414127216375298,0.8919404949477228,0.31494134115816624,0.1395693654117342,0.25107857576064413,0.08746711225214222
Culture Enthusiast,0.5261413403111276,0.8418652315506933,0.22193013976181336,0.2842913437286272,0.22404808889344455,0.4105905651869913
Culture Enthusiast,0.6394654320704711,0.9647868898955899,0.23133137758550293,0.2560247903527193,0.2539489739009781,0.20976078517162894
Culture Enthusiast,0.8048067630615036,0.942315208022028,0.39194186610285403,0.14374588598992902,0.29720092076024307,0.3416640508508408
Culture Enthusiast,0.5498426353769786,1.0,0.35662015483643805,0.1550026579284586,0.3505926191244417,0.27780435597013836
Culture Enthusiast,0.6497447969773756,0.8243820224087635,0.2418290259340105,0.18019850915587962,0.29404532567199626,0.24965376780405424
Culture Enthusiast,0.6142160800746603,0.8431724513031918,0.33041582808047704,0.24884685962270586,0.34478323583448317,0.28646245804436976
Culture Enthusiast,0.6667137723639123,0.9867344063382749,0.29438674308330826,0.06712312531872074,0.3343694575306069,0.2166150149730489
Culture Enthusiast,0.6217263069756298,0.8478601139343752,0.213515476767339,0.2842522282666323,0.29683558769146756,0.25452005578980996
Culture Enthusiast,0.6022654700904367,0.9523804911596594,0.3750627044780798,0.1587164217426101,0.30768966215527865,0.1630179769035966
Culture Enthusiast,0.5652403018054147,0.9252662301225089,0.317770701730697,0.16170011026692185,0.40046049004588163,0.1284314158224397
Culture Enthusiast,0.5850502684670913,0.914821515338066,0.4157582307482986,0.21572438212092598,0.3825475631574908,0.08115517015704225
Culture Enthusiast,0.6213640212695407,1.0,0.30658271914203394,0.2852384300052281,0.2586169239919702,0.3127477952148464
Culture Enthusiast,0.78391184988954,0.9209729151648273,0.26435979828793826,0.3162707581694161,0.42636577165845696,0.15817119782773856
Culture Enthusiast,0.5663850546323314,0.9274572312911593,0.1924439591172578,0.12650784428126416,0.21966873865983455,0.13857619479166974
Culture Enthusiast,0.5972252090090575,0.9687371786029215,0.42404003942512614,0.12013167674089673,0.3787457918781267,0.1828808924619593
Culture Enthusiast,0.5960429032278053,1.0,0.2101822382750161,0.23059277969472405,0.3133161766570445,0.2393961011206519
Culture Enthusiast,0.6231334915126254,1.0,0.24898080125989472,0.1575202435998546,0.2501487578860188,0.15556183046717964
Culture Enthusiast,0.5490090298154786,1.0,0.41364033983918835,0.1543402965000419,0.2334115541516617,0.23771324451091233
Culture Enthusiast,0.5558221564575222,1.0,0.316233841668104,0.07874047080022145,0.4238004161064049,0.34367021384764174
